iteration,file,triples,loadTime,query1,query2
0,../data/edm_data00.nt,10000000,265.39,2.03,2.21
0,../data/edm_data01.nt,10000000,283.07,2.1,2.04
0,../data/edm_data02.nt,10000000,279.97,2.07,2.04
0,../data/edm_data03.nt,10000000,291.91,2.04,2.08
0,../data/edm_data04.nt,10000000,283.31,2.09,2.06
0,../data/edm_data05.nt,10000000,291.74,2.09,2.13
0,../data/edm_data06.nt,10000000,310.22,2.07,2.05
0,../data/edm_data07.nt,10000000,312.46,2.18,2.23
0,../data/edm_data08.nt,10000000,30.56,2.05,1.98
0,../data/edm_data09.nt,10000000,300.46,2.04,2.13
0,../data/edm_data10.nt,10000000,309.34,2.17,2.09
0,../data/edm_data11.nt,10000000,226.8,2.1,2.09
0,../data/edm_data12.nt,10000000,303.63,2.08,2.06
0,../data/edm_data13.nt,10000000,299.81,2.1,2.09
0,../data/edm_data14.nt,10000000,306.67,2.09,2.04
0,../data/edm_data15.nt,10000000,319.38,2.15,2.06
0,../data/edm_data16.nt,10000000,280.1,2.17,2.05
0,../data/edm_data17.nt,10000000,287.95,2.11,2.05
0,../data/edm_data18.nt,10000000,294.09,2.11,2.2
0,../data/edm_data19.nt,10000000,322.22,2.09,2.08
0,../data/edm_data20.nt,10000000,345.29,2.13,2.1
0,../data/edm_data21.nt,10000000,336.55,2.27,2.1
0,../data/edm_data22.nt,10000000,326.98,2.1,2.06
0,../data/edm_data23.nt,10000000,323.01,2.14,2.4
0,../data/edm_data24.nt,10000000,346.58,2.09,2.05
0,../data/edm_data25.nt,10000000,45.06,2.03,2.05
0,../data/edm_data26.nt,10000000,332.21,2.3,2.04
0,../data/edm_data27.nt,10000000,334.73,2.14,2.09
0,../data/edm_data28.nt,10000000,373.37,2.13,2.14
0,../data/edm_data29.nt,10000000,52.83,2.09,2.08
0,../data/edm_data30.nt,10000000,344.31,2.13,2.19
0,../data/edm_data31.nt,10000000,326.32,2.49,2.05
0,../data/edm_data32.nt,10000000,330.04,2.11,2.09
0,../data/edm_data33.nt,10000000,385.66,2.2,2.03
0,../data/edm_data34.nt,10000000,424.34,2.1,2.04
0,../data/edm_data35.nt,10000000,401.7,2.13,2.03
0,../data/edm_data36.nt,10000000,356.76,2.15,2.05
0,../data/edm_data37.nt,10000000,424.03,2.1,2.06
0,../data/edm_data38.nt,2629063,159.62,2.14,2.08
1,../data/edm_data00.nt,10000000,267.97,2.2,2.04
1,../data/edm_data01.nt,10000000,288.84,2.05,1.99
1,../data/edm_data02.nt,10000000,284.41,2.04,2.06
1,../data/edm_data03.nt,10000000,285.7,2.04,2.03
1,../data/edm_data04.nt,10000000,284.57,1.99,2.03
1,../data/edm_data05.nt,10000000,291.22,2.04,1.99
1,../data/edm_data06.nt,10000000,305.3,2.09,2.03
1,../data/edm_data07.nt,10000000,311.7,2.43,2.14
1,../data/edm_data08.nt,10000000,30.29,2.04,2.04
1,../data/edm_data09.nt,10000000,294.47,2.05,2.3
1,../data/edm_data10.nt,10000000,303.97,2.37,2.04
1,../data/edm_data11.nt,10000000,230.76,2.04,2.1
1,../data/edm_data12.nt,10000000,296.5,2.05,1.99
1,../data/edm_data13.nt,10000000,298.4,2.05,1.98
1,../data/edm_data14.nt,10000000,302.48,2.08,2.0
1,../data/edm_data15.nt,10000000,316.38,2.03,2.03
1,../data/edm_data16.nt,10000000,288.59,2.34,2.05
1,../data/edm_data17.nt,10000000,290.2,2.25,2.04
1,../data/edm_data18.nt,10000000,298.04,2.05,2.04
1,../data/edm_data19.nt,10000000,321.93,2.08,2.09
1,../data/edm_data20.nt,10000000,341.52,2.19,2.05
1,../data/edm_data21.nt,10000000,330.06,2.44,2.09
1,../data/edm_data22.nt,10000000,331.13,2.1,2.06
1,../data/edm_data23.nt,10000000,320.68,2.08,2.04
1,../data/edm_data24.nt,10000000,348.61,2.1,2.05
1,../data/edm_data25.nt,10000000,43.33,2.19,2.04
1,../data/edm_data26.nt,10000000,328.36,2.28,2.06
1,../data/edm_data27.nt,10000000,334.75,2.05,2.23
1,../data/edm_data28.nt,10000000,375.03,2.12,2.04
1,../data/edm_data29.nt,10000000,55.04,2.09,2.05
1,../data/edm_data30.nt,10000000,346.65,2.15,2.34
1,../data/edm_data31.nt,10000000,325.09,2.2,2.05
1,../data/edm_data32.nt,10000000,326.31,2.07,2.04
1,../data/edm_data33.nt,10000000,390.84,2.15,2.15
1,../data/edm_data34.nt,10000000,435.66,2.1,2.09
1,../data/edm_data35.nt,10000000,400.36,2.29,2.13
1,../data/edm_data36.nt,10000000,345.23,2.09,2.05
1,../data/edm_data37.nt,10000000,430.68,2.11,2.09
1,../data/edm_data38.nt,2629063,156.14,2.09,1.98
2,../data/edm_data00.nt,10000000,262.85,2.14,2.03
2,../data/edm_data01.nt,10000000,287.3,2.08,2.09
2,../data/edm_data02.nt,10000000,280.57,2.04,2.15
2,../data/edm_data03.nt,10000000,287.95,2.04,1.99
2,../data/edm_data04.nt,10000000,285.98,2.12,2.09
2,../data/edm_data05.nt,10000000,288.37,2.05,2.09
2,../data/edm_data06.nt,10000000,302.12,2.04,2.05
2,../data/edm_data07.nt,10000000,311.79,2.23,2.04
2,../data/edm_data08.nt,10000000,30.36,2.13,2.0
2,../data/edm_data09.nt,10000000,296.53,1.99,2.06
2,../data/edm_data10.nt,10000000,309.39,2.31,2.04
2,../data/edm_data11.nt,10000000,228.07,2.05,2.09
2,../data/edm_data12.nt,10000000,297.25,2.04,2.1
2,../data/edm_data13.nt,10000000,302.86,2.14,2.02
2,../data/edm_data14.nt,10000000,304.51,2.15,2.02
2,../data/edm_data15.nt,10000000,315.25,1.98,2.04
2,../data/edm_data16.nt,10000000,282.97,2.32,2.05
2,../data/edm_data17.nt,10000000,290.57,2.04,1.99
2,../data/edm_data18.nt,10000000,300.81,2.09,2.05
2,../data/edm_data19.nt,10000000,322.79,2.21,2.06
2,../data/edm_data20.nt,10000000,341.81,2.1,2.05
2,../data/edm_data21.nt,10000000,330.49,2.36,2.05
2,../data/edm_data22.nt,10000000,326.23,2.1,2.09
2,../data/edm_data23.nt,10000000,320.54,2.09,2.11
2,../data/edm_data24.nt,10000000,342.45,2.1,2.03
2,../data/edm_data25.nt,10000000,44.14,2.1,2.05
2,../data/edm_data26.nt,10000000,332.18,2.28,2.05
2,../data/edm_data27.nt,10000000,333.95,2.08,2.08
2,../data/edm_data28.nt,10000000,370.67,2.1,2.05
2,../data/edm_data29.nt,10000000,52.96,1.99,2.05
2,../data/edm_data30.nt,10000000,346.59,2.14,1.98
2,../data/edm_data31.nt,10000000,325.41,2.1,2.07
2,../data/edm_data32.nt,10000000,335.87,2.13,2.09
2,../data/edm_data33.nt,10000000,392.74,2.15,2.08
2,../data/edm_data34.nt,10000000,433.0,2.05,2.1
2,../data/edm_data35.nt,10000000,392.82,2.16,2.05
2,../data/edm_data36.nt,10000000,358.11,2.19,2.06
2,../data/edm_data37.nt,10000000,431.56,2.05,2.03
2,../data/edm_data38.nt,2629063,156.79,2.05,2.05
